date,spy_ret_5d,spy_ret_21d,vix_5d_change,vix_percentile_jump_10d,realized_vol_21d_percentile_jump,trend_break,spy_drawdown,vix_level,spy_drawdown_speed_5d,spy_drawdown_speed_21d,vix_shock_5d,vix_percentile_jump,realized_vol_jump,trigger_count,crash_onset
2007-08-03,-0.009027550646900973,-0.05506683824661407,0.04095985800550994,0.0357142857142857,0.24603174603174605,True,-0.048172023764745386,21.219999313354492,False,False,False,False,False,1,False
2007-08-06,-0.00793830071569479,-0.04425398966281768,0.09918541502561129,0.023809523809523725,0.2658730158730159,False,-0.07267756455967833,25.15999984741211,False,False,False,False,True,1,False
2007-08-07,0.014068312719289766,-0.03481360250035115,-0.08333337388070994,-0.00793650793650802,0.17460317460317465,False,-0.05713582249414029,22.940000534057617,False,False,False,False,False,0,False
2007-08-08,0.023219385292264416,-0.007222106186169142,-0.09378957778618147,0.0,0.17460317460317465,False,-0.0470759666406142,21.559999465942383,False,False,False,False,False,0,False
2007-08-09,-0.014972796142445066,-0.04342361465328137,0.24787937790231362,0.0,0.07936507936507942,False,-0.03379154552335828,21.450000762939453,False,False,False,False,False,0,False
2007-08-10,0.00632832120168092,-0.06269878398702478,0.12480124835817152,0.0,0.06746031746031744,False,-0.062423550015591855,26.479999542236328,False,False,False,False,False,0,False
2007-08-13,-0.006703022032059969,-0.062124794284318496,0.15823884377759123,0.0,0.059523809523809534,False,-0.066809170330687,28.299999237060547,False,False,False,False,False,0,False
2007-08-14,-0.032212506304213906,-0.07634184748929762,0.28385904410159934,0.0,0.05555555555555558,True,-0.06345586184920216,26.56999969482422,False,False,False,False,False,1,False
2007-08-15,-0.05866682896245101,-0.08859473017802122,0.42983678253683233,0.003968253968253954,0.06349206349206349,True,-0.07777203807264021,27.68000030517578,True,True,True,False,False,4,True
2007-08-16,-0.022629124624183983,-0.08008010294758727,0.16427494171710078,0.011904761904761862,0.06746031746031744,True,-0.09047593166421342,30.670000076293945,False,True,False,False,False,2,True
2007-08-17,0.0,-0.066809170330687,0.05971733496884557,-0.007936507936507908,0.019841269841269882,False,-0.083640084346989,30.829999923706055,False,False,False,False,False,0,False
2007-08-20,-0.00406201645315063,-0.05771953648557715,-0.009032735185349527,-0.011904761904761862,-0.003968253968253954,True,-0.066809170330687,29.989999771118164,False,False,False,False,False,1,False
2007-08-21,0.013425918205293597,-0.05871282727039462,-0.08778902739829109,-0.011904761904761862,-0.007936507936507908,False,-0.06726011954747246,26.329999923706055,False,False,False,False,False,0,False
2007-08-22,0.03977595910135734,-0.030734003911747076,-0.2536681013137322,-0.031746031746031744,-0.011904761904761862,False,-0.06539028088916887,25.25,False,False,False,False,False,0,False
2007-08-23,0.031104799758987944,-0.0335730670644917,-0.2662990303207804,-0.059523809523809534,-0.015873015873015928,False,-0.054298739520389105,22.889999389648438,False,False,False,False,False,0,False
2007-08-24,0.02501599220025086,0.002094866985351329,-0.30910305196771415,-0.08333333333333337,-0.023809523809523836,False,-0.05513689266343902,22.6200008392334,False,False,False,False,False,0,False
2007-08-27,0.015970461342687203,0.012680484453985397,-0.13710598635821947,-0.05555555555555558,-0.03968253968253965,False,-0.04346447581433388,20.719999313354492,False,False,False,False,False,0,False
2007-08-28,-0.008349037542746518,-0.02483371444215854,0.04158412820041768,-0.02777777777777779,-0.031746031746031744,True,-0.052363833343922805,22.719999313354492,False,False,False,False,False,1,False
2007-08-29,-0.0007496265664652668,0.005627680557590109,0.040192228083238746,-0.04761904761904767,-0.015873015873015928,False,-0.073193372521841,26.299999237060547,False,False,False,False,False,0,False
2007-08-30,-0.0025250068330516795,-0.001911998260747838,0.10786907763844611,-0.04365079365079361,-0.023809523809523836,False,-0.0550076623091843,23.809999465942383,False,False,False,False,False,0,False
2007-08-31,-0.0049890441100615135,-6.792190837601186e-05,0.12837837526846263,-0.05555555555555558,-0.019841269841269882,False,-0.0575226784657622,25.059999465942383,False,False,False,False,False,0,False
2007-09-04,0.014494350065288542,0.03671765100089419,0.002640905594383014,-0.04761904761904756,-0.06349206349206349,False,-0.04823667373733698,23.3799991607666,False,False,False,False,False,0,False
2007-09-05,0.028319055456319964,0.010806156916567167,-0.06539921533270465,-0.015873015873015928,-0.06349206349206349,False,-0.03862846300988143,22.780000686645508,False,False,False,False,False,0,False
2007-09-06,0.010850086963591243,0.0024362418136505415,0.007559861789717903,0.0,-0.06349206349206349,False,-0.046947084241002024,24.579999923706055,False,False,False,False,False,0,False
2007-09-07,-0.0005480279043817982,-0.02509565787952639,0.046687952962011225,0.023809523809523836,-0.06349206349206349,False,-0.04475441326531149,23.989999771118164,False,False,False,False,False,0,False
2007-09-10,-0.01219628381236404,0.0027506030350898936,0.17108640477251602,0.06349206349206349,-0.11507936507936511,False,-0.05803918233720995,26.229999542236328,False,False,False,False,False,0,False
2007-09-11,-0.010665158118832174,0.019210998755971653,0.10930639578856094,0.015873015873015928,-0.09523809523809523,False,-0.05984464938663603,27.3799991607666,False,False,False,False,False,0,False
2007-09-12,0.0005418006503652428,0.018178686518082188,0.01545968925736707,-0.02777777777777779,-0.1071428571428572,False,-0.04888164246282578,25.270000457763672,False,False,False,False,False,0,False
2007-09-13,0.0052654768681672515,0.04125601252447808,0.03209672634889671,-0.015873015873015817,-0.14682539682539675,False,-0.046430719551411315,24.959999084472656,False,False,False,False,False,0,False
2007-09-14,0.0193746396561858,0.0557290373109216,-0.04994279408327795,-0.019841269841269882,-0.17063492063492058,False,-0.039724589724941195,24.760000228881836,False,False,False,False,False,0,False
2007-09-17,0.015844716478629506,0.042223507680511974,-0.03287069562149225,0.03373015873015872,-0.17460317460317454,False,-0.03978903092474717,24.920000076293945,False,False,False,False,False,0,False
2007-09-18,0.03369720738040316,0.05355556314543941,-0.19469726898174156,-0.07142857142857151,-0.0714285714285714,False,-0.044948154410300756,26.479999542236328,False,False,False,False,False,0,False
2007-09-19,0.03712725581197107,0.06028777345558689,-0.19751596869625077,-0.10317460317460314,-0.06746031746031744,False,-0.016831609925587077,20.350000381469727,False,False,False,False,False,0,False
2007-09-20,0.022630784182953168,0.05071365700696151,-0.1740710592124668,-0.09126984126984128,-0.05555555555555558,False,-0.011027308941759295,20.030000686645508,False,False,False,False,False,0,False
2007-09-21,0.02545990040682189,0.04119333014114712,-0.23756019495062364,-0.12698412698412698,-0.06349206349206349,False,-0.01799280415880955,20.450000762939453,False,False,False,False,False,0,False
2007-09-24,0.029099306183317575,0.04019638827465277,-0.2685044873834792,-0.1428571428571428,0.0,False,-0.015342155282553449,19.0,False,False,False,False,False,0,False
