date,variant,gross_before,gross_after,scale,projection_reason
2008-10-13,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,none
2008-10-14,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-15,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-16,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-17,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-20,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-21,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-22,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-23,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-24,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-27,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-28,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-29,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-30,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-10-31,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-03,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-04,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-05,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-06,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-07,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-10,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-11,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-12,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-13,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-14,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-17,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-18,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-19,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-20,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-21,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-24,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-25,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-26,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-11-28,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-12-01,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-12-02,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-12-03,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-12-04,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-12-05,b2_every_2_no_projection,0.9764419946794965,0.9764419946794965,1.0,held
2008-12-08,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,none
2008-12-09,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-10,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-11,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-12,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-15,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-16,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-17,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-18,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-19,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-22,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-23,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-24,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-26,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-29,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-30,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2008-12-31,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-02,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-05,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-06,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-07,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-08,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-09,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-12,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-13,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-14,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-15,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-16,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-20,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-21,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-22,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
